"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_8589312_101773312"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"90234880"	"0"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/$Unalloc/Unalloc_8_8589312_101773312"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_101777408_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol3/Unalloc_7_101777408_104857600"
"$AttrDef"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"3104"	"6"	"f516a5513ad83daf3eb9e1d3eeda45f7"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"992"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"8192"	"7"	"b3f7c98d0d9032b6f34321aadd7e4c4e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"100"	"32"	"b8b071ef6af81ff0ff4dcca6a449be72"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"65536"	"33"	"4f7765611fc4a7d846681090aa7f1bf2"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2097152"	"34"	"9c868f963467f202296af0563992a2f4"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2097152"	"35"	"b2d1236c286a3c0704224fe4105eca49"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$LogFile"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2097152"	"2"	"1e429e6751f07badab316d56aff4d372"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"262144"	"0"	"1ec4b3d1a3d3061e93932afa9f02a1a7"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"4096"	"1"	"5a50687a21de74139603b30932e3115d"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$MFTMirr"
"$IFX3JT7"	""	"r"	""	"2025-12-03 00:05:45 IST"	"2025-12-03 00:05:45 IST"	"2025-12-03 00:05:45 IST"	"96"	"54"	"11be7a13f0dc0158b9aa4963bfb5d84d"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-4082732271-1221489951-1383022732-1003/$IFX3JT7"
"$IU2Q53V.txt"	".txt"	"r"	""	"2025-12-02 23:09:06 IST"	"2025-12-02 23:08:16 IST"	"2025-12-02 23:08:16 IST"	"118"	"48"	"f0a4e6466aa77a9c38f1e66091d32a43"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-4082732271-1221489951-1383022732-1003/$IU2Q53V.txt"
